altitude,availableBikes,availableDocks,city,id,is_renting,kioskType,landMark,lastCommunicationTime,latitude,location,longitude,postalCode,stAddress1,stAddress2,stationName,status,statusKey,statusValue,testStation,totalDocks
0.0,9,6,Chicago,57,True,True,Chicago,2022-02-22 20:43:02,41.8671177825,Chicago,-87.6410879593,60602,Chicago,Chicago,Clinton St & Roosevelt Rd,IN_SERVICE,1,IN_SERVICE,False,15
0.0,5,18,Chicago,58,True,True,Chicago,2022-02-22 20:52:34,41.91643342912655,Chicago,-87.66674637794495,60602,Chicago,Chicago,Elston Ave & Cortland St,IN_SERVICE,1,IN_SERVICE,False,23
0.0,16,7,Chicago,59,True,True,Chicago,2022-02-22 21:47:19,41.867227,Chicago,-87.625961,60602,Chicago,Chicago,Wabash Ave & Roosevelt Rd,IN_SERVICE,1,IN_SERVICE,False,23
0.0,5,14,Chicago,60,True,True,Chicago,2022-02-22 19:58:02,41.9105780349,Chicago,-87.6494219288,60602,Chicago,Chicago,Dayton St & North Ave,IN_SERVICE,1,IN_SERVICE,False,19
0.0,9,9,Chicago,61,True,True,Chicago,2022-02-23 01:23:52,41.907655,Chicago,-87.672552,60602,Chicago,Chicago,Wood St & Milwaukee Ave,IN_SERVICE,1,IN_SERVICE,False,19
0.0,3,24,Chicago,62,True,True,Chicago,2022-02-22 18:22:57,41.8513751729,Chicago,-87.6188346489,60602,Chicago,Chicago,McCormick Place,IN_SERVICE,1,IN_SERVICE,False,27
0.0,4,18,Chicago,66,True,True,Chicago,2022-02-23 00:17:18,41.885637,Chicago,-87.641823,60602,Chicago,Chicago,Clinton St & Lake St,IN_SERVICE,1,IN_SERVICE,False,23
0.0,1,26,Chicago,67,True,True,Chicago,2022-02-23 01:34:58,41.9256018819,Chicago,-87.6537080423,60602,Chicago,Chicago,Sheffield Ave & Fullerton Ave,IN_SERVICE,1,IN_SERVICE,False,27
0.0,2,21,Chicago,68,True,True,Chicago,2022-02-22 22:49:54,41.875885,Chicago,-87.640795,60602,Chicago,Chicago,Clinton St & Tilden St,IN_SERVICE,1,IN_SERVICE,False,23
0.0,11,12,Chicago,69,True,True,Chicago,2022-02-22 23:34:13,41.9093960065,Chicago,-87.6776919292,60602,Chicago,Chicago,Damen Ave & Pierce Ave,IN_SERVICE,1,IN_SERVICE,False,23
0.0,9,13,Chicago,71,True,True,Chicago,2022-02-22 23:57:06,41.88577925240433,Chicago,-87.65102460980414,60602,Chicago,Chicago,Morgan St & Lake St,IN_SERVICE,1,IN_SERVICE,False,23
0.0,3,36,Chicago,72,True,True,Chicago,2022-02-22 18:03:27,41.860384,Chicago,-87.625813,60602,Chicago,Chicago,Wabash Ave & 16th St,IN_SERVICE,1,IN_SERVICE,False,39
0.0,7,12,Chicago,73,True,True,Chicago,2022-02-22 19:19:44,41.880329633634624,Chicago,-87.64274597167967,60602,Chicago,Chicago,Jefferson St & Monroe St,IN_SERVICE,1,IN_SERVICE,False,19
0.0,8,14,Chicago,74,True,True,Chicago,2022-02-22 22:30:35,41.89380805624359,Chicago,-87.64169722795485,60602,Chicago,Chicago,Kingsbury St & Erie St,IN_SERVICE,1,IN_SERVICE,False,23
0.0,1,42,Chicago,75,True,True,Chicago,2022-02-22 20:29:09,41.877245,Chicago,-87.639366,60602,Chicago,Chicago,Canal St & Jackson Blvd,IN_SERVICE,1,IN_SERVICE,False,43
0.0,13,26,Chicago,76,True,True,Chicago,2022-02-22 22:29:00,41.880958,Chicago,-87.616743,60602,Chicago,Chicago,DuSable Lake Shore Dr & Monroe St,IN_SERVICE,1,IN_SERVICE,False,39
0.0,7,22,Chicago,77,True,True,Chicago,2022-02-22 22:22:14,41.882242,Chicago,-87.641066,60602,Chicago,Chicago,Clinton St & Madison St,IN_SERVICE,1,IN_SERVICE,False,31
